2025-07-05 22:22:21,528 - INFO - 変換開始: 入力ファイル='plantsch BOMつき.csv', 出力ファイル='202507052222_supabase_plantsch BOMつき.csv'
2025-07-05 22:22:21,571 - INFO - 時刻修正: 2025/04/26 24:00 → 2025/04/27 00:00
2025-07-05 22:22:21,572 - INFO - SUPABASE形式変換: 2025/04/26 24:00 → 2025-04-27T00:00:00+09:00
2025-07-05 22:22:21,572 - INFO - 開始日時: 2025/04/26 00:00 → 2025-04-26T00:00:00+09:00
2025-07-05 22:22:21,572 - INFO - 終了日時: 2025/04/26 24:00 → 2025-04-27T00:00:00+09:00
2025-07-05 22:22:21,572 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-04-26T00:00:00+09:00', '2025-04-27T00:00:00+09:00', '×']
2025-07-05 22:22:21,572 - INFO - SUPABASE形式変換: 2025/05/08 00:00 → 2025-05-08T00:00:00+09:00
2025-07-05 22:22:21,572 - INFO - 時刻修正: 2025/05/08 24:00 → 2025/05/09 00:00
2025-07-05 22:22:21,572 - INFO - SUPABASE形式変換: 2025/05/08 24:00 → 2025-05-09T00:00:00+09:00
2025-07-05 22:22:21,572 - INFO - 開始日時: 2025/05/08 00:00 → 2025-05-08T00:00:00+09:00
2025-07-05 22:22:21,572 - INFO - 終了日時: 2025/05/08 24:00 → 2025-05-09T00:00:00+09:00
2025-07-05 22:22:21,572 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-05-08T00:00:00+09:00', '2025-05-09T00:00:00+09:00', '×']
2025-07-05 22:22:21,572 - INFO - SUPABASE形式変換: 2025/05/09 08:30 → 2025-05-09T08:30:00+09:00
2025-07-05 22:22:21,573 - INFO - SUPABASE形式変換: 2025/05/09 17:00 → 2025-05-09T17:00:00+09:00
2025-07-05 22:22:21,573 - INFO - 開始日時: 2025/05/09 08:30 → 2025-05-09T08:30:00+09:00
2025-07-05 22:22:21,573 - INFO - 終了日時: 2025/05/09 17:00 → 2025-05-09T17:00:00+09:00
2025-07-05 22:22:21,573 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-05-09T08:30:00+09:00', '2025-05-09T17:00:00+09:00', '×']
2025-07-05 22:22:21,573 - INFO - SUPABASE形式変換: 2025/05/12 09:00 → 2025-05-12T09:00:00+09:00
2025-07-05 22:22:21,573 - INFO - SUPABASE形式変換: 2025/05/12 17:00 → 2025-05-12T17:00:00+09:00
2025-07-05 22:22:21,573 - INFO - 開始日時: 2025/05/12 09:00 → 2025-05-12T09:00:00+09:00
2025-07-05 22:22:21,573 - INFO - 終了日時: 2025/05/12 17:00 → 2025-05-12T17:00:00+09:00
2025-07-05 22:22:21,573 - INFO - 処理済み行データ: ['１００１会議室（１０階西）', '2025-05-12T09:00:00+09:00', '2025-05-12T17:00:00+09:00', '×']
